"Sweep","mVd","stimAmin","FVmin","indexFVmin","EPSPmin","indexEPSPmin","slopeEPSP"
"PreC.Bl_6.Sweep.104...mV.",3.87720642089969,-3.72889099121169,-0.21509704589969,318,-1.40711364745969,641,-0.802958841294688
"PreC.Bl_6.Sweep.105...mV.",3.94302795410291,-3.69400451660291,-0.20950744629291,320,-1.38992736816291,634,-0.781448420150389
"PreC.Bl_6.Sweep.106...mV.",3.85986083984512,-3.72070068359512,-0.22887939453512,317,-1.35802978515512,596,-0.786091325470333
"PreC.Bl_6.Sweep.107...mV.",3.92794799804812,-3.73995971679812,-0.20602416991812,311,-1.41085815429812,631,-0.804937832688132
"PreC.Bl_6.Sweep.108...mV.",3.83796142578247,-3.72992919921947,-0.21247314453247,318,-1.38862060547247,624,-0.774318511302461
"PreC.Bl_6.Sweep.109...mV.",3.90496032714945,-3.71147888183645,-0.22515075683945,320,-1.37139099120945,607,-0.744180427488968
"PreC.Bl_6.Sweep.110...mV.",3.79544067382937,-3.70571899414187,-0.24258422851937,320,-1.36624145507937,638,-0.800400013458101
"PreC.Bl_6.Sweep.111...mV.",3.87991821289181,-3.72244750976681,-0.21780883789181,313,-1.38296997070181,631,-0.775230274356253
"PreC.Bl_6.Sweep.112...mV.",3.76938171386846,-3.72543640136846,-0.21103210448846,319,-1.39633483886846,617,-0.803814139414699
"PreC.Bl_6.Sweep.113...mV.",3.83998046875125,-3.68556152343825,-0.21388183594125,314,-1.40284667969125,618,-0.793726714976283
"PreC.Bl_6.Sweep.114...mV.",3.76620788574349,-3.68991394043099,-0.21518249511349,312,-1.36569519043349,608,-0.810415147815668
"PreC.Bl_6.Sweep.115...mV.",3.8282568359387,-3.7129003906257,-0.2271826171887,313,-1.3856298828087,620,-0.761905207244718
"PreC.Bl_6.Sweep.116...mV.",3.74413696289188,-3.70629516601688,-0.21508422851188,318,-1.38756958008188,617,-0.787727156343759
"PreC.Bl_6.Sweep.117...mV.",3.80780700683728,-3.71076110839978,-0.22931579589728,320,-1.37250427245728,618,-0.7800880115697
"PreC.Bl_6.Sweep.118...mV.",3.75072509765748,-3.68785888671998,-0.21312744140748,317,-1.38866455077748,634,-0.808358375561541
"PreC.Bl_6.Sweep.119...mV.",3.89952087402472,-3.70481872558672,-0.22032165527472,320,-1.38792419433472,625,-0.820704676740525
"PreC.Bl_6.Sweep.120...mV.",3.744110107423,-3.7007751464855,-0.218109130863,324,-1.380218505863,639,-0.734788054348469
"PreC.Bl_6.Sweep.121...mV.",3.85309204101694,-3.70721801757894,-0.23065551757694,318,-1.38727172851694,634,-0.765510058214274
"PreC.Bl_6.Sweep.122...mV.",3.74272949218886,-3.70183593750136,-0.22771484374886,319,-1.37517578124886,626,-0.796552516248749
"PreC.Bl_6.Sweep.123...mV.",3.84472717285267,-3.70556701660267,-0.20764221191267,319,-1.38440002441267,634,-0.747739261561059
"PreC.Bl_6.Sweep.124...mV.",3.74126953125131,-3.70647949218881,-0.21770996094131,320,-1.38042968750131,604,-0.773451652541714
"PreC.Bl_6.Sweep.125...mV.",3.82729553222783,-3.70583557128983,-0.19997619628783,318,-1.37917541503783,635,-0.713485114176098
"PreC.Bl_6.Sweep.126...mV.",3.77551513672004,-3.71203857422004,-0.19641357422004,319,-1.37683349609004,628,-0.748435219565545
"PreC.Bl_7.Sweep.0...mV.",3.85402587890748,-3.70204833984448,-0.20107177734748,331,-1.40163330077748,628,-0.75646145439549
"PreC.Bl_7.Sweep.1...mV.",3.74638061523582,-3.68412475586082,-0.21427612304582,325,-1.38554077148582,621,-0.762444800072046
"PreC.Bl_7.Sweep.2...mV.",3.86785827636839,-3.70489440918039,-0.22344909667839,316,-1.36846862792839,642,-0.789173919013219
"PreC.Bl_7.Sweep.3...mV.",3.73045288086067,-3.68955932617317,-0.22642456055067,322,-1.39036499023067,641,-0.782279625318297
"PreC.Bl_7.Sweep.4...mV.",3.84952880859487,-3.66947509765687,-0.19840576171487,328,-1.40385009765487,627,-0.746314523861141
